,Headline,Price,Address,Bedrooms,Bathrooms,Balcony,Super Area,Price per sqft,Status,Transaction Type,Floor,Car parking,Furnished status,Lifts,Description,Price breakup,Address,Landmarks,Age of construction,Price comparison,Expected rent,Monthly EMI,Owner/Builder
323,3 BHK Villa,79.0 Lac,"Nanda Prakruthi,Kanakapura Road,Bangalore",1,3,0,2000,"3,950",Ready to Move,New,,2 Covered,Semi-Furnished,"Yes, s","Nanda Estates, One of the Bangalore's Upstanding Builders and Developers, Has come up with a new Villa project @ Nanda Prakruthi off Kanakapura Road. At Nanda Prakruthi you can experience the Villa Enclave with Tranquillity, connectivity and Greenery. Nanda Prakruthi has been designed to be a self-sufficient place for living which will offer amenities that exhibit a grand Lifestyle, with a green space that fills Joy in your Life. Get back to Home with an Outdoor Space, A space that fills up with Happiness, A space where you can recharge, Refresh and Rebalance Yourself. It Is Close to Educational Institutes, Hospitals and Many Relaxation Centres.",79.0 Lac,"Kanakapura Road, Bangalore, Kanakapura Road, Bangalore - South, Karnataka",,,,,"40,064 per month 39.5 Lac loan for 15 years ",K M Muniram
324,3 BHK 1610 Sq-ft Flat,1.0 Cr,"Old Airport Road, Bangalore",3,3,0,1610,"6,211",Under Construction,New,,None,,"Yes, s","A sequel to the project white wings off HAL Airport Road and adjacent to it is Blue Wings of 150 apartments. With excellent connectivity to prime area of Bangalore, commercial office complexes and top schools in the vicinity. Away from the noise of the city, in a residential setting is a dream and sought after location. As always with a Fortuna constructions project, quality and service assured to our customers who make us. The project is just 4 km from the Hotel Leela Place and Manipal Hospital.BBMP Approved.",1.0 Cr,"Old Airport Road, Bangalore - East, Karnataka",,,,,"50,713 per month 50 Lac loan for 15 years ",Archana
325,3 BHK Villa,87.3 Lac,"Celebrity Natures Habitat,Sarjapur-Attibele Road,Bangalore",3,3,0,1908,"4,575",Ready to Move,New,,None,Unfurnished,"Yes, s","Built subtly across the lush landscape to evoke the joy of living in natures bounty, every home is deliberated in passion and consciously designed for harmony between laid-back elegance and unparalleled comfort. At Natures Habitat, you get to live in an abode that seduces you viscerally and elevates your lifestyle to where you truly belong. A life that is lived amidst eclectic design sense and flamboyant surroundings. One where every inch oozes sophistication and blissfulness. Here, you get to choose from 3 BHK and 4 BHK villas-both with an option of an additional study room. But no matter the size of your home, we have ensured that living spaces are lavish, contemporary and spacious. With wooden flooring for master bedrooms, provision for modular kitchen, a skylight, large balconies, and windows designed to let in ample natural night and air, your home is nothing short of your own private paradise.",87.3 Lac,"Sarjapur-Attibele Road, Bangalore - East, Karnataka",,,,,"44,273 per month 43.7 Lac loan for 15 years ",George
326,3 BHK 1430 Sq-ft Flat,55.3 Lac,"Bannerghatta Main Road, Bangalore",3,3,1,1430,"3,870",Ready to Move,New,1 (Out of 4 floors),1 Covered,,"Yes, 3","Interestingly designed 2 and 3 BHK flats in various sizes, depending on how much you can stretch your plans.You have options ranging from 1120 sq ft to 1525 sqft and several sizes in between. Living here will make you want to get more out of your life, as your home gives you all the peace, comfort and facilities you have desired for.Price All Inclusive",55.3 Lac,"Tejaswini Nagar, Bannerghatta Road, Bangalore - South, Karnataka",Landmark near South park,,16.4% lower than the avg. price,,"28,065 per month 27.7 Lac loan for 15 years ",Harsha
327,3 BHK 1368 Sq-ft Flat,61.5 Lac,"Nagarbhavi, Bangalore",1,2,0,1368,"4,496",Under Construction,New,4 (Out of 4 floors),None,,"Yes, 2","Luxury takes on a new definition at Sidvin Grace. Be it picture-perfect interiors, aesthetically designed structures, innovative ideas in space management or the understated elegance of fine finishes, this is where unmatched essentials of good living create an ambiance for happiness and fine living.",61.5 Lac,"Nagarbhavi, Bangalore, Nagarbhavi, Bangalore - West, Karnataka",,,,,"31,189 per month 30.8 Lac loan for 15 years ",Sidvin
328,3 BHK Villa,81.0 Lac,"Terra Alegria,Whitefield,Bangalore",3,3,0,1975,"4,101",Under Construction,New,,1 Covered,,No,"Terra Alegria, a Gated Luxury Villa Community project spread over 7.5 Acres of Phase 1, located in Whitefield East-end. This project is strategically located just off the NH4 and bang on NH 207, and offers excellent connectivity to IT Parks like ITPL,BGRT,the various state highways, the airport, the Narsapura Industrial Area and the proposed six-lane Bangalore-Chennai Expressway.",81.0 Lac,"Whitefield, Bangalore - East, Karnataka",,,,,"41,078 per month 40.5 Lac loan for 15 years ",Srinivas M
329,4 BHK Villa,2.12 Cr,"RBD Stillwaters,Sarjapur Road,Bangalore",4,4,2,2629,"8,064",Ready to Move,New,,"1 Covered, 1 Open",Unfurnished,Yes,"A Symphony of Nature awaits you No, it is just being plain honest. We have strived for years working with the best technicians, architects, planners and consultants to put together the finest residential enclave that we possibly could, christening it RBD Stillwaters. Offer - Pay 20% on Agreement and balance after Possession.",2.12 Cr,"Sarjapur Road, Bangalore - East, Karnataka",Nandini Parlour,New Construction,8.3% higher than the avg. price,,1.1 Lac per month 16 Cr loan for 15 years ,W J Gonsalves Kumar
330,2 BHK 1095 Sq-ft Flat,61.0 Lac,"Bommanahalli, Bangalore",2,2,0,1095,"5,571",Under Construction,New,,None,,"Yes, s","Located at Kodichikkanahalli in Bommanahalli, Bangalore, one of the best location to by home in Bangalore SLV Magnum offers apartment for sale in Bangalore with array of amenities, a one of kind project which is uniquely catering to its resident's needs, apartment that has enough space to enjoy your life with your family where you can get the freshness of life. You can enjoy being in a peaceful environment while staying connected with City.",61.0 Lac,"Bommanahalli, Bangalore - South, Karnataka",,,,,"30,935 per month 30.5 Lac loan for 15 years ",Tejesh
331,3 BHK 1898 Sq-ft Flat,1.80 Cr,"Old Airport Road, Bangalore",3,3,0,1898,"9,484",Ready to Move,New,,None,Unfurnished,Yes,"Welcome to DivyaSree 77 Place, the Only Town centre within the city limits. DivyaSree 77 Place is part of a 72 Acre mixed use town centre within city limits with excellent Social infrastructure and good connectivity to New-Age Offices. DivyaSree 77 Place consists of 370 thoughtfully designed Luxury apartments in 9 different types to suit various needs/budgets of modern Indian families.",1.80 Cr,"Old Airport Road, Bangalore - East, Karnataka",,,2.4% lower than the avg. price,,"91,284 per month 90 Lac loan for 15 years ",Aspire Proptech Consultants Pvt. Ltd.
332,3 BHK 1479 Sq-ft Flat,69.2 Lac,"Bannerghatta Main Road, Bangalore",3,2,0,1479,"4,679",Under Construction,New,,1 Covered,,"Yes, s","Sumukha Tropical Garden is a project conceived for the generation who expect all the contemporary lifestyle facilities for safety, security, health, comfort & convenience.",69.2 Lac,"Bannerghatta Road, Bangalore - South, Karnataka",,,,,"35,094 per month 34.6 Lac loan for 15 years ",Ravi
333,Residential Plot,48.2 Lac,"VIP Layout,Bannerghatta Road,Bangalore",0,0,0,1000,,,,,None,,No,"We are proud to present the extension of VIP Layout. It defines serenity, the place transport you into a realm that resembles paradise itself, as it is the closest thing to Nature with impeccable landscapes that is bound to refresh you day after day. You don't just buy a plot at VIP Layout, you buy peace of mind the serene setting of the gated community is what you have been longing for all this times. You are surrounded by the goodness of nature where everything is a new experience be it going for a stroll, playing with your kids or simply working.",48.2 Lac,"Bannerghatta Road, Bangalore - South, Karnataka",,,,,"24,444 per month 24.1 Lac loan for 15 years ",Suna Miandad
334,3 BHK 1945 Sq-ft Flat,1.92 Cr,"Koramangala, Bangalore",3,3,0,1945,"9,871",Ready to Move,New,,None,Unfurnished,"Yes, s","Esteem Splendor is located in the heart of Bangalore CBD area Koramangala and is just 3 km away from Brigade Road. With one, two and three bedroom apartments to offer, the complex has a total of 125 residences which are all spacious and well ventilated. The posh settings of Koramangala in the backdrop makes life look richer and when the heart desires a shopping spree or delightful food, step in to the shopping and entertainment hub of Bangalore, located just a stone throw away. But in the midst of all this glamour, convenience still prevails with premier schools and top-class medical care right around the block.",1.92 Cr,"Koramangala, Bangalore - South, Karnataka",,,,,"97,370 per month 96 Lac loan for 15 years ",Abhishek Ahuja
335,3 BHK 155 Sq-m Flat,77.8 Lac,"Old Madras Road, Bangalore",3,3,0,155,,Under Construction,New,12 (Out of 18 floors),None,,"Yes, 4","Ankshu Ecstasy is an iconic project from M/s. TGR Projects India Pvt. Ltd. The project is located on old madras road (NH-4) near K R Puram RTO, Bangalore. The Project is raising tall above 3 acres of fresh green space comprises of 302 apartments spread across two towers between two serene lakes.",77.8 Lac,"Old Madras Road, Bangalore - East, Karnataka",,,,,"39,455 per month 38.9 Lac loan for 15 years ",Shyam
336,Residential Plot,30.0 Lac,"Butterfly Gardens,Electronic City,Bangalore",0,0,0,1500,,,,,None,,No,"This gated layout comes with excellent amenities like avenue trees & pathways with lawns, long-lasting concrete roads, beautifully designed landscaped gardens, children̢??s play area, rainwater harvesting & sewage treatment plants, high quality underground power cables, high raised boundary walls, overhead tanks & sumps for storage of precious water.",30.0 Lac,"Electronic City, Bangalore - South, Karnataka",,,,,"15,206 per month 15 Lac loan for 15 years ",Asha
337,3 BHK 1825 Sq-ft Flat,77.7 Lac,"Whitefield, Bangalore",3,2,0,1825,"4,258",Under Construction,New,,None,Unfurnished,"Yes, s","Tranquil Towers is the luxurious apartment community developed by Dhruthi Infra Projects Ltd. It is located in the midst of IT SEZ of East Bangalore surrounding more than 700 reputed companies including 30+ MNC. Within a 5 Km vicinity includes Bangalore most eminent tech park such as I.T.P.L, Inner circle park, Sigma Technology Park, GR Tech Park, H M Tech Park, Brigade Tech Park and many more. Walk-able distance to worlds top MNC's, Shopping malls, Hospitals, International schools, and top notch restaurant and hotels, Tranquil Towers allows cherish your life with your family and friends like never before.",77.7 Lac,"Whitefield, Bangalore - East, Karnataka",,,,,"39,404 per month 38.9 Lac loan for 15 years ",Tabasum Fathima
338,1 BHK 780 Sq-ft Flat,31.1 Lac,"Bannerghatta Main Road, Bangalore",1,1,0,780,"3,987",Under Construction,New,3 (Out of 3 floors),None,,"Yes, 1","The time has well and truly arrived. To stop racing against time. And put life way ahead. With Opera Springleaf, par excellence apartments at a vantage point on Kodichikanahalli Off Bannerghatta Road, you are close to all places serving all your interests. Your workplace, in particular. And the shopping hubs, schools, colleges, hospitals, socializing avenues, amusement destinations. just about everything.",31.1 Lac,"Bannerghatta Road, Bangalore - South, Karnataka",,,,,"15,772 per month 15.6 Lac loan for 15 years ",Shushanth
339,Residential Plot,56.3 Lac,"JR Urbania,Chandapura,Bangalore",0,0,0,2400,,,,,None,,"Yes, s","JR Urbania by JR Housing offers BMRDA approved residential plots, sites/lands for sale near Electronic city Bangalore. With easy access via Hosur Road, Bannerghatta Road, chandapura-anekal road & Hoskote, you'll be just minutes away from Electronics City. Rest assured your investment is bound to get you rich dividends while you spend some quality time with your family.",56.3 Lac,"Chandapura, Bangalore - South, Karnataka",,,,,"28,552 per month 28.2 Lac loan for 15 years ",Niranjan Reddy
340,3 BHK 1758 Sq-ft Flat,82.3 Lac,"Marathahalli, Bangalore",3,3,0,1758,"4,681",Ready to Move,New,,None,Unfurnished,"Yes, s","Saranya Soham is one of the popular Residential Developments in Kundalahalli neighbourhood of Bangalore. It is among the Launching Project of Saranya Group. The landscape is beautiful with spacious 4 Blocks of 2 & 3 BHK high End apartments. Saranya Soham offers luxurious apartments with all modern amenities. Our projects have unique design features, high quality finish and world-class amenities.",82.3 Lac,"Marathahalli, Bangalore - East, Karnataka",,,4.7% higher than the avg. price,,"41,737 per month 41.2 Lac loan for 15 years ",Lohith C
341,3 BHK 1653 Sq-ft Flat,82.4 Lac,"Whitefield, Bangalore",1,3,0,1653,"4,985",Ready to Move,New,12 (Out of 13 floors),1 Covered,,"Yes, 2","Enjoy Life in its Vibrant hues Oceanus Classic, as its name rightly suggests, is all about living life in its vibrant hues and splendour. This apartment complex, located at White Field Road, close to IT Park, Bangalore, comprises 2 & 3 BHK luxury living spaces. Oceanus Classic boasts of all the features that make for a gracious lifestyle. Besides, a leisurely stroll away, is the best of shopping and recreational avenues. Excellent educational institutions and medical facilities too, are close at hand.",82.4 Lac,"Whitefield, Bangalore - East, Karnataka",,,,,"41,788 per month 41.2 Lac loan for 15 years ",Jacob
342,3 BHK 1645 Sq-ft Flat,59.2 Lac,"Singapura, Bangalore",3,3,0,1645,"3,600",Under Construction,New,5 (Out of 10 floors),"1 Covered, 1 Open",,"Yes, 2","We understand the value of your hard-earned money. We know the hard work you put in to fulfill your familys dreams. We realize how difficult it is to give up your familiar surroundings and venture into a whole new territory. And yes, we feel you deserve more, much more. Thats why we bring you smr vinay estella - a perfect balance of location, design, comfort and affordability. To experience a perfectly balanced lifestyle, heres where you should be.",59.2 Lac,"Singapura, Bangalore - North, Karnataka",,,,,"30,032 per month 29.6 Lac loan for 15 years ",Mohammed Younus
